GeneID	Dermanura_bogotensis1	Artibeus_jamaicensis1	Artibeus_jamaicensis2	Artibeus_jamaicensis3	Artibeus_jamaicensis4	Eonycteris_spelaea1	Eonycteris_spelaea2	Hipposideros_armiger1	Hipposideros_armiger2	Desmodus_rotundus1	Phyllostomus_discolor1	Phyllostomus_discolor2	Molossus_molossus1	Tonatia_saurophila1	Rhinolophus_ferrumequinum1	Rhinolophus_ferrumequinum2	Rousettus_aegyptiacus1	Rousettus_aegyptiacus2	Lonchorhina_aurita1	Phyllostomus_hastatus1	Vespertilio_sinensis1	Vespertilio_sinensis2	Vespertilio_sinensis3	Vespertilio_sinensis4	Vespertilio_sinensis5	Vespertilio_sinensis6	Vespertilio_sinensis7	Vespertilio_sinensis8	Vespertilio_sinensis9	Vespertilio_sinensis10	Vespertilio_sinensis11	Vespertilio_sinensis12	Pteropus_alecto1	Pteropus_alecto2	Pteropus_alecto3	Pteropus_alecto4	Lionycteris_spurrelli1	Sturnira_ludovici1	Rhinophylla_fischerae1	Carollia_perspicillata1
ZNF791	1.148351	6.15601	4.622417	1.952404	6.28825	2.360177	8.764846	0.110008	2.201124	0	0	0	0.861981	0	0.372789	0.297217	1.15846	3.210577	0	0	1.253807	1.372257	1.882057	1.906242	0.248586	2.861678	0.102791	2.221801	2.071635	2.393182	1.395241	0.317771	0.665603	2.390966	3.368125	2.313743	1.241011	0	0	0.602924
NovelGene8	0.998814	13.013053	6.672483	6.91332	5.123906	2.552475	4.592085	0.716327	4.022658	0.122226	0.282454	0.127853	1.745527	0	0.13454	0.31887	4.876061	3.685769	0	0.570387	0	0	0	0	0	0	0	0	0	0	0	0	1.241799	1.281735	1.522881	1.974251	0	0	0	0
ZNF283	0.123973	2.395203	2.091789	0	1.068977	0.229673	1.077761	4.474108	7.75295	0.094228	0.100748	0	0	0.414098	1.441819	0.80447	1.201452	0.936506	0.961642	0.553491	0.675646	0.860242	1.113011	0.953743	0.759903	1.074889	0.764986	1.035781	0.706984	0.825433	0.798564	0.837858	0.515325	0.721169	0.704961	1.215131	0	0	0	0
ZNF546	0	0	0	0	0	0.785183	0	0.479887	0.563017	0.023477	0	0	0.265687	0	0	0.093228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506188	1.067749	0	0	0	0
ZNF157	0.156057	0.704435	0.809406	0.283795	0.486951	0.036054	0.074884	0.361745	0.446423	0.353027	0.075176	0	0	0	0	0.17425	0.018044	0.184814	0	0.124071	0	0	0	0	0	0	0	0	0	0	0	0	0.132193	0.195112	0.339553	0	0	0	0	0
MYH7_1	0.259863	0	0	0.053935	0.012675	0	0	0.063578	0.016241	0.39239	0.023139	0	0	0	0.064303	0.031733	0	0	0.434654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399	0.019852	0	0	0.011785	0.025108	0
MYH7_2	0	0	0.041447	0	0	0.415829	0.086532	0.00845	0.555522	0.009735	0.42507	0.277139	0	0	0.242896	0.124987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137113	0.186207	0.161192	0.585525	0.296625	0	0.049972	0.521878
MYH15	0	0.01958	0.060042	0.018082	0	0	0	0	0	0	0	0	0	0	0.031095	0.053703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02452	0	0.069912	0.016231	0.12722	0	0	0	0.019139
MYH6	0.011593	0	0.019558	0.01844	0.026003	0.338738	0.112001	0	3.843985	0	1.621461	2.075031	0	0	2.108292	1.012715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031706	0	0.030215	0.095406	0.071332	0	0.101067
MYH3	0.046602	0.040132	0.030766	0.129706	0	0	0	0	0.046219	0.009742	0.92858	0.830475	0.089378	0	0	0.007218	0	0	0.028668	0	0	0	0	0	0	0	0	0	0	0	0	0.023869	0	0.013628	0.015819	0	0.214866	0.046753	0.037355	0
MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095723	0	0.044609	0	0	0
MYH8	0	0	0	0	0	0.013157	0.01366	0.071851	0.281847	0	0.100148	0.056721	0	0	0.057187	0.059872	0.039939	0.022695	0	0	0	0	0	0	0	0	0.011711	0	0	0	0	0.023802	0	0	0	0	0	0	0	0
MYH4	0	0	0	0	0	0.025636	0.013308	0	7.371281	0	0.023684	0.054676	0	0	0.652917	0.644916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055233	0	0	0
MYH1	0	0	0	0	0	0	0	0	0	0	0.172782	0.111732	0.021591	0	0	0	0	0	0	0	0	0	0	0	0.013715	0	0	0.051635	0	0	0.028005	0	0	0	0	0	0	0	0	0
MYH2	0	0	0	0	0	0.014187	0.060176	0	3.821226	0	0.122374	0.055326	0	0	0.246568	0	0	0	0.019099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273207	0	0	0.075055
MYH7B	0.243894	0	0	0.112849	0.306543	0	0.120132	0.169288	0.190376	0.066303	0.237328	0.520313	0.119121	0	0.060323	0.053496	0.226027	0.099862	0	0	0.04691	0.029886	0.046364	0.032267	0.013973	0	0	0	0	0	0.028532	0	0.113733	0.167551	0.113453	0.141156	0.028164	0.024513	0.026115	0
CEACAM21_1	0.121455	0.18452	0.4221	0.668727	0.239056	0	0	0	0	0	0	0	0	0.125666	0	0	0	0	0.142003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698385	0	0	0
CEACAM21_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM21_3	0	0.309306	1.1804	0.2812	0.300819	0	0	0	0	0.071219	0	0	0	1.650608	0	0	0	0	0.24703	0.29112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM21_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3C14_1	0.070109	0.676365	0.258471	0.41192	0.365923	0	0	0	0	0	0	0	0	0.133004	1.230859	3.215496	0	0	0	2.296857	0	0	0.330213	0.326083	0	0	0	0	0	0	0	0.580271	53.144619	77.657098	52.553589	111.147289	0	2.285499	0.162447	1.693284
H3-3A_1	169.057005	491.20326	415.009372	637.06434	590.014396	125.066775	118.203108	101.781561	184.031807	317.307255	548.05152	583.445909	229.045287	291.81172	7.612632	7.832704	76.724705	57.321057	157.404581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269.067598	189.952735	235.810427	219.651998
H3-3A_2	0	0	0	0	0	0	0	0.228572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A15_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4A15_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524619	0	0	0	0	0	0.040206	0	0.037294	0
KRT75_1	0	0	0	0	0.102458	0	0	0	0	0	0.526509	0.850623	0	0	0	0	0	0	0.028558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052507	0.12183	0	0	0	0	0
KRT5	0	0.98077	0.834469	0.902035	4.606943	0	0.037102	2.521508	14.579539	0	0.068025	0	0	0	0	0	0	0	0.285283	0	0.056565	0.324	0	0.262051	0	0	0	0	0.066559	0	0	0.107595	0	0	0.038688	0	0	0	0	0
KRT75_2	0	0.223187	0.370504	3.393786	0	0	0	0.037339	0.158225	0	0	0	0	0	1.503425	0.576056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079745	0	0	0	0	0	0	0	0	0
KRT4	0	0	0.045167	0	0.038363	0	0.043152	0.085079	0.355796	0	0	0	0	0.044978	0	0.071032	0	0	0	0.124471	0	0.045559	0	0	0.085285	0.049915	0	0	0	0	0.08703	0	0	0	0.050907	0.044344	0	0	0	0
KRT76	0	0	0	0	0	0	0	0	0.05297	0	0	0	0	0	0	0	0	0	0	0.024156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209319	0	0	0	0	0
KRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075403	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103857	0.229804	0.088886	0	0	0	0	0
KRT2	0	0	0	0	0	0	0.178094	0	0	0	0	0	0	0	0	0	0	0	0.162903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10507	0	0	0	0	0	0
KRT77	0	0	0	0	0	0	0	0	0.59818	0	0	0	0	0	0	0	0	0	0	20.035832	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153341	0	0	0	0	0	0
SCN9A	0.01039	0.197145	0.082442	0.141181	0.081688	0	0.061976	0.015482	0.203086	0	0	0	0.381753	0	0	0	0.020166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037962	0.044067	0.012793	0.012109	0.021078	0	0
SCN1A	0	0.332941	0.12427	0.016474	0.044605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039351	0	0	0	0	0	0	0	0	0	0	0.008345	0	0
SCN3A	0.010441	0.09313	0.08284	0.088507	0.035178	0	0	0.014869	0.079993	0	0	0	0	0	0	0	0	0	0	0	0.012103	0	0	0	0	0	0	0	0	0	0	0.009214	0	0	0	0	0	0	0	0
SCN2A	0.071616	0.095099	0.142574	0.034389	0.022987	0	0	0.007785	0.046187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009184	0	0	0
SCN8A	0.211972	0.480319	0.276309	0.350885	0.49029	0	0	0.02458	0.120063	0	1e-06	1e-06	0	1e-06	1e-06	1e-06	0	0	1e-06	0.00257	0	0	0	0	0	0	0	0	0	0	0	0	0.072053	0.02653	0	0	0.04997	0	0	0
SCN4A	0.850713	0	0.011622	0	0.009871	0	0.450567	0	0.126148	0.00731	0	0	0	0	0	0	0.034713	0	0	0	0	0	0	0.012303	0	0	0	0.02675	0	0	0	0	0	0.015033	0.139603	0.106387	0.051298	0.026788	0.066587	0.057381
SCN5A	0	0.468783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009607	0	0.115852	0
SCN10A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319661	0.044151	0.136665	0	0	0	0	0
SCN11A	0.042817	0.461437	1.216939	0.409133	1.418129	0.393916	0	0	0	0.038005	0.047432	0	0.048915	0	0	0	0	0.716631	0	0.011237	0.061857	0.014778	0.015284	0.047869	0.207277	0.032447	0	0.034683	0.036453	0	0.296285	0	0.210485	0.403147	0.737933	0.67404	0.077441	0.056169	0	0
TUBA8	2.848969	0.082247	0.503387	0.301603	0.587913	131.656019	76.457967	40.062212	18.154218	0.360377	0	0	0.0899	0	1.372919	1.193205	10.611032	8.869136	0	0	3.392934	17.585938	11.32284	11.965832	1.76673	12.561141	6.298235	30.463271	21.891177	7.865623	9.078346	14.886249	21.442969	38.175488	36.875285	66.056899	0.12165	0.741499	2.53962	0.084778
TUBA4A	40.867838	185.046144	290.213464	250.276426	220.192391	187.964837	135.906568	79.293585	55.315715	40.071621	229.651623	239.400881	109.313981	35.681181	76.259434	58.059015	80.048124	42.783112	31.364953	44.447271	0	0	0	0	0	0	0	0	0	0	0	0	86.140785	151.166121	153.869124	196.915045	32.832522	21.161925	19.082211	40.812408
TUBAL3	0	9.912002	10.50937	3.756721	9.457501	0	0	0	0	0	0	0	0.052034	0.086672	0.279317	2.347139	0	0	0	0.148627	0	0	0.111846	0	0.201783	0	0	0.062784	0	0.11661	0.051471	0.042995	0	0	0	0	0.311289	5.352282	0.144368	0
TUBA1B_1	0	8.173085	14.745028	2.032549	11.273465	22.037968	13.035111	0	0	0	24.098946	21.737228	0	14.917601	0	0	7.787792	4.342334	15.771238	0	11.039777	30.503152	2.397386	22.765778	0.471939	0.555094	0	10.249455	2.869123	20.778789	2.215044	2.557039	0	6.095036	0	0	19.625916	8.545224	15.353872	5.830601
TUBA1C	6.293299	30.835048	40.365038	79.7018	38.686082	151.91453	98.362122	150.59611	96.08648	20.793302	0	0	0	0	0	0	10.271564	6.615079	0	3.437587	0	0.472344	0	0	0.063204	0	0	0	0	0	0.38684	0	7.527507	2.752323	5.852328	2.917665	0	0	0	0
TUBA1B_2	32.461409	136.027908	164.294454	300.724877	164.899465	111.892024	96.14401	0	0	0	0	8.822037	0	23.794737	76.639423	57.147944	86.4214	86.378636	19.038196	51.402791	8.06887	11.445227	11.398337	7.121939	4.834015	9.589159	4.213555	11.968803	8.76037	7.862705	9.589507	7.67212	0	0	0	0	20.453803	4.791204	1.093498	19.865627
OR52E4_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252097	0	0	0	0	0
OR52E4_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52E5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB2A	7.281379	50.810074	51.597883	87.760922	40.690918	8.33493	14.74489	6.112037	6.861241	5.937066	14.60528	13.943759	15.728459	0.780656	13.334041	9.233956	3.211051	1.857	0.990788	0	0	0	0	0	0	0	0	0	0	0	0	0	1.924775	7.7649	1.823273	3.386082	11.409274	25.289195	9.649056	28.236356
TUBB2B	2.221852	17.914571	19.504946	33.611627	14.624336	0.845121	0.93704	5.03033	2.413333	0.720607	23.643232	24.706574	0	0.635008	1.429943	1.047424	0.343726	0.344745	1.491403	3.113846	0.723207	1.239499	0.905584	1.257742	0.516927	0.591355	0.474809	0.738837	0.895615	0.552285	0.173812	0.642649	0.396579	0.825093	0.183441	0.724252	2.860588	2.552863	1.238804	1.772104
TUBB1	2.235018	11.694068	25.958817	10.399314	20.821326	0.099306	0.250395	0.608908	0	1.261631	3.550127	4.944555	0.998818	1.23439	3.483431	0.395696	0.093261	0	2.323983	0.359593	0.603065	0.510145	0.861184	0.137041	0.836109	0.767626	0	1.631838	0.941531	0.138119	0.974804	0.203631	0.092126	0.322388	0.492379	0.257299	0.27203	1.515897	1.817118	5.765482
TUBB3	1.072316	3.011137	9.202449	1.443675	6.683621	3.408413	4.585489	1.021797	0.441777	0.981718	95.605084	96.378518	0	0.657204	0.265226	0.245134	0.263841	0.319805	1.64476	0.121209	0.124527	0.229149	0.123107	0.127445	0.166522	0.092953	2.065381	0.069069	0.292228	0.256687	0.283717	0.182032	1.318954	1.706405	3.728768	3.789231	0.373111	0.984161	0.129655	5.377555
TUBB6	1.601682	2.890378	3.119453	3.486034	1.797288	37.265175	34.252569	3.75735	10.959908	10.57954	26.568744	25.831264	8.984617	3.017218	4.414562	1.414947	11.655449	16.051657	0.887981	1.278112	3.54465	3.207873	3.297887	3.026413	4.3927	3.489419	0	4.02801	6.490607	2.264159	5.993685	0.983199	8.875803	7.472252	12.94414	12.931163	0	0	0	0
TUBB	21.231894	80.667398	101.536269	159.888104	74.804541	201.538764	155.149563	0	0	41.676579	92.997072	90.716242	93.468248	11.617339	53.742717	46.894485	36.938537	31.191072	61.647023	23.847232	41.865666	31.116281	25.82718	18.762433	37.42376	45.702608	31.626401	36.852717	23.764288	28.142629	24.934455	47.764225	58.425153	123.009575	133.664991	152.351998	51.431678	28.984795	13.748699	78.854929
TUBB4A	1.114485	2.893291	3.768304	2.15721	1.441631	4.119075	2.235143	13.426857	8.312368	1.968503	4.405764	1.704799	1.689367	4.205175	5.895156	6.227095	0.979351	1.203933	0.685489	0	0	0	0	0	0.679537	0	0	0.399992	0	0	0	0.548599	0	0.931751	0.618513	0.541188	6.816986	1.136227	1.517241	8.026198
TUBB4B	24.515358	141.813419	176.378459	216.695624	112.396234	144.079103	85.682542	132.916703	136.403949	98.643854	183.282465	181.816612	137.08963	62.914149	99.433061	70.063428	26.193185	20.341874	30.284125	0	55.086923	44.645733	36.489433	34.101589	38.029877	46.968296	19.316201	50.690139	45.940829	42.849764	37.631447	54.298791	0	0	0	0	49.630721	23.101883	26.040373	56.58493
OR6C6_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C6_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C75_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C4_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR1J1	0	0.153016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547753	0.101343	0	0	0	0	0	0
SIGLEC5_1	0.163062	0.383399	0.335524	0	0	0.024088	0.125061	0	0	5.630185	0.375477	0.318901	0	0	0	0	0	0	0.144879	0.022669	0.237096	0.045215	0	0	0.263387	0.049522	0	0.316495	0	0.163599	0.172685	0.14268	0.566988	0	0.404882	0.211647	0.306078	1.048328	0	0
SIGLEC14	0	0	0	0	0	0.108283	0	1.169768	0.028364	0	3.586427	3.540151	0.915211	0	3.311289	1.125618	1.210206	0.272324	0.16326	0.064547	0	0	0	0	0	0	0	0	0	0	0	0	1.258359	0.77829	9.556813	0.785897	0	0	0	0
SIGLEC5_2	1.809929	3.201628	3.559164	2.470489	2.149673	0	0	0.340319	1.58872	3.608377	0	0	0.692674	1.629098	1.677957	2.084688	0	0	0.759455	6.933929	0	0.246938	0	0	0.156602	0	0	0.332746	0	0	0	0.111163	0	0	0	0	0	0	0	0
LILRA6_1	0	0	0	0	0	7.198392	0.510371	0.294941	0	0	0	0	0.88334	0	1.248689	0.848069	0.390311	0.338608	0	0	1.671547	0.797316	0.933836	1.270088	1.200234	0.342064	0.026943	2.350854	1.793938	2.902835	0.728223	0.442214	0	0	0	0	0	0	0	0
OR2S2_1	0	0	0	0	0	0.209737	0	0	0	0	0	0	0	0	0	0	0.020935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155622
OR2S2_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087904	0	0	0	0	0	0	0	0	0	0	0	0	0
OR13C8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR13C3	0	0	0	0	0.157877	0	0	0	0	0	0.158111	0	0	0	0	0	0	0	0.057313	0	0.052963	0	0.104712	0	0	0	0	0	0	0	0	0.161037	0	0	0.126571	0	0.33459	0	0	0
OR13C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
